Name,Info,Ratings,Highly_rated_for,Critically_rated_for,Number_of_Voters
Honasa Consumer,Beauty & Personal Care | 201-500 Employees | 8 years old | Gurgaon/Gurugram +22 more,4,"Skill Development / Learning, Salary & Benefits, Company Culture","Job Security, Promotions / Appraisal",91
ISG,1k-5k Employees (Global) | 18 years old | Stamford +9 more,3.6,,"Promotions / Appraisal, Work Satisfaction, Job Security",91
Life Care Logistic,51-200 Employees | 26 years old | Indore +17 more,3.9,,"Job Security, Promotions / Appraisal",91
Kalinga Commercial Corporation,Metals & Mining | 1k-5k Employees | 33 years old | Bhubaneswar +15 more,3.5,Job Security,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",91
Surya Food & Agro,Food Processing | 1k-5k Employees | 30 years old | Noida +22 more,3.7,,"Skill Development / Learning, Promotions / Appraisal, Job Security",91
VaaaN Infra,Urban Transport | 51-200 Employees | 13 years old | Faridabad +14 more,4.2,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",91
Rapid Care Transcription,Broadcasting | 51-200 Employees | 25 years old | Delano +4 more,4.2,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal,91
Uttam Strips,Iron & Steel | 201-500 Employees | 16 years old | Bhiwadi +8 more,3.6,,"Promotions / Appraisal, Job Security, Work Life Balance",91
Line O Matic Graphic Industries,Pulp & Paper | 201-500 Employees | 27 years old | Ahmedabad +2 more,3.8,Salary & Benefits,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",91
MicroGenesis Techsoft,IT Services & Consulting | 51-200 Employees | 24 years old | Bengaluru +4 more,3.6,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",91
Mtg Learning Media,Printing & Publishing | 51-200 Employees | 42 years old | Gurugram +10 more,4.3,"Work Life Balance, Job Security, Work Satisfaction",,91
Kalpa Electrikal,Electrical Equipment | 501-1k Employees | 46 years old | Bangalore/Bengaluru +11 more,3.5,,"Promotions / Appraisal, Salary & Benefits, Company Culture",91
Impulse,IT Services & Consulting | 501-1k Employees | 42 years old | Gurgaon +12 more,3.9,Work Life Balance,"Promotions / Appraisal, Work Satisfaction, Company Culture",86
Dura Automotive,Auto Components | 201-500 Employees | 110 years old | Auburn Hills +6 more,3.5,,"Promotions / Appraisal, Job Security, Salary & Benefits",82
Gyaanta,EdTech | 51-200 Employees | Startup | 1 years old | New Delhi +7 more,4.6,"Work Life Balance, Skill Development / Learning, Work Satisfaction",,123
MAMTA Health Institute for Mother and child,Healthcare | 11-50 Employees | 34 years old | New Delhi +33 more,4.3,"Skill Development / Learning, Company Culture, Work Life Balance",,92
MFXchange Holdings,Financial Services | 501-1k Employees | 23 years old | Morris Plains +13 more,3.7,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",91
Ola cars,501-1k Employees | Kolkata +23 more,3.3,,"Job Security, Promotions / Appraisal, Company Culture",91
Chromewell Engineering,Industrial Machinery | 51-200 Employees | 66 years old | Pune +3 more,3.9,,"Job Security, Promotions / Appraisal, Work Satisfaction",90
Rcpl Logistics,Logistics | 501-1k Employees | 27 years old | New Delhi +21 more,3.2,,"Promotions / Appraisal, Job Security, Company Culture",90
Coldex Logistics,Logistics | 51-200 Employees | 19 years old | Gurgaon/Gurugram +16 more,3.1,,"Job Security, Work Satisfaction, Company Culture",90
Department of Agriculture,Agriculture | 10k-50k Employees | Public | 77 years old | Delhi/NCR +42 more,4.2,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,90
SIMA Labs,Waste Management | 201-500 Employees | 36 years old | New Delhi +9 more,4.3,"Work Life Balance, Work Satisfaction, Skill Development / Learning",,90
National Sample Survey Office (nsso),Government | 201-500 Employees (Global) | 74 years old | New Delhi +50 more,4,,"Job Security, Promotions / Appraisal",90
Smilax Laboratories,Pharma | 1k-5k Employees | 19 years old | Hyderabad +4 more,3.2,,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",90
POSCO,Metals & Mining | 51-200 Employees | Forbes Global 2000 | 56 years old | Pohang-si +18 more,4.3,"Work Life Balance, Job Security, Company Culture",,90
Delhi Integrated Multi Modal Transit System,Urban Transport | 501-1k Employees | 18 years old | Delhi/NCR +10 more,4.1,"Work Life Balance, Job Security","Promotions / Appraisal, Skill Development / Learning",90
Sridevi Tool Engineers,Engineering & Construction | 51-200 Employees | 52 years old | Vasai +4 more,3.5,,"Salary & Benefits, Promotions / Appraisal, Work Life Balance",90
Global Upside,BPO | 201-500 Employees | 25 years old | San Jose +4 more,3.9,"Work Life Balance, Skill Development / Learning",Promotions / Appraisal,90
Clixlogix Technologies,IT Services & Consulting | 51-200 Employees | 12 years old | Noida +1 more,3.6,,Salary & Benefits,90
GlobeGround India,Aviation | 51-200 Employees | 25 years old | Bangalore +9 more,4.2,"Skill Development / Learning, Work Satisfaction, Work Life Balance","Promotions / Appraisal, Salary & Benefits",90
Sakthi Finance,Financial Services | 201-500 Employees | Public | 69 years old | Coimbatore +22 more,4.3,"Work Life Balance, Work Satisfaction, Skill Development / Learning",,90
Basware,IT Services & Consulting | 501-1k Employees | 39 years old | Espoo +2 more,3.7,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",90
The New Indian Express,Printing & Publishing | 51-200 Employees | 92 years old | Chennai +20 more,3.5,,"Salary & Benefits, Work Life Balance, Promotions / Appraisal",90
Tupperware,Retail | 501-1k Employees | 78 years old | Orlando +17 more,3.7,"Work Life Balance, Company Culture","Promotions / Appraisal, Job Security, Skill Development / Learning",90
Signity Solutions,IT Services & Consulting | 51-200 Employees | 15 years old | Mohali +2 more,4.5,"Skill Development / Learning, Work Satisfaction, Company Culture",,90
Augustus Healthcare Solutions,Healthcare | 501-1k Employees (Global) | 25 years old | Harwood Heights +4 more,3.9,"Job Security, Work Satisfaction",,90
Gadre Marine Export,Food Processing | 1k-5k Employees | 46 years old | Ratnagiri +9 more,4.1,"Job Security, Skill Development / Learning, Company Culture","Promotions / Appraisal, Salary & Benefits",90
Machino Polymers,Petrochemicals | 501-1k Employees | Public | 29 years old | Gurgaon +10 more,3.4,,"Promotions / Appraisal, Company Culture, Salary & Benefits",90
SecUR Credentials,Recruitment | 201-500 Employees | 23 years old | Mumbai +7 more,2.6,,"Promotions / Appraisal, Salary & Benefits, Job Security",90
SKS POWER GENERATION,Power | 201-500 Employees | Public | 16 years old | Mumbai +11 more,3.3,,"Promotions / Appraisal, Company Culture, Skill Development / Learning",90
Prayagh Nutri Products,Food Processing | 51-200 Employees | 24 years old | Hyderabad +22 more,4.1,"Salary & Benefits, Company Culture, Work Life Balance",Promotions / Appraisal,90
KEKA TECHNOLOGIES,Software Product | 501-1k Employees | Hyderabad / Secunderabad +2 more,3.3,,"Job Security, Work Satisfaction, Promotions / Appraisal",90
DentalKart,Internet | 201-500 Employees | Startup | 9 years old | new delhi +4 more,4.1,"Job Security, Company Culture, Skill Development / Learning",,90
Sirca Paints India,Chemicals | 51-200 Employees | Public | 18 years old | Delhi/NCR +24 more,4.2,Work Life Balance,,90
Square Capital Advisory Services,NBFC | 51-200 Employees | 10 years old | Gurgaon +22 more,3.3,,"Job Security, Promotions / Appraisal, Salary & Benefits",90
K & J Project,Engineering & Construction | 51-200 Employees | 20 years old | Nagpur +24 more,3.6,,"Promotions / Appraisal, Salary & Benefits, Company Culture",90
Shree Shubham Logistics,Logistics | 51-200 Employees | Public | 17 years old | Mumbai +27 more,4.4,"Company Culture, Work Life Balance, Work Satisfaction",,90
Gates Unitta India Company,Auto Components | 201-500 Employees | 113 years old | Singapore +11 more,3.9,,Promotions / Appraisal,90
EENADU,Printing & Publishing | 201-500 Employees (Global) | 10 years old | Hyderabad/Secunderabad +17 more,3.9,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",90
Express Housekeeper,Facility Management Services | 201-500 Employees | 28 years old | Gurgaon +20 more,3.9,Work Life Balance,Promotions / Appraisal,90
R M Chemicals,FMCG | 201-500 Employees | 29 years old | Chandigarh +6 more,4.3,"Skill Development / Learning, Company Culture, Work Life Balance",,90
Ideaforge Technology,Internet | 51-200 Employees | 17 years old | Mumbai +6 more,3.9,"Company Culture, Work Satisfaction, Work Life Balance",Promotions / Appraisal,90
Fabtech Technologies International,Engineering & Construction | 201-500 Employees | 25 years old | Mumbai +4 more,3.7,,"Promotions / Appraisal, Salary & Benefits, Company Culture",90
Bharat BPO Services,BPO | 201-500 Employees | 18 years old | Noida +10 more,4.6,"Job Security, Company Culture, Skill Development / Learning",,90
Antara Senior Living,Real Estate | 51-200 Employees | Public | 11 years old | Dehradun +8 more,3.6,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",90
SKDRDP,Non-Profit | 33 years old | Daramasthala +34 more,4.1,"Job Security, Company Culture, Salary & Benefits",,90
Asclepius Wellness,Fitness & Wellness | 5k-10k Employees | 10 years old | Jaipur +17 more,3.9,Work Life Balance,,90
Sicagen,Building Material | 501-1k Employees | Public | 20 years old | Chennai +24 more,4,"Job Security, Work Life Balance, Work Satisfaction",Promotions / Appraisal,90
Construction Group,Engineering & Construction | 51-200 Employees | Hyderabad / Secunderabad +35 more,4.4,"Company Culture, Work Satisfaction, Skill Development / Learning",,90
Mitel,Telecom | 501-1k Employees | 52 years old | Kanata +4 more,3.6,Work Life Balance,"Promotions / Appraisal, Job Security, Salary & Benefits",90
Netxcell,Telecom | 201-500 Employees | 24 years old | Hyderabad/Secunderabad +11 more,3.6,Work Life Balance,"Promotions / Appraisal, Job Security, Company Culture",90
Yangpoo University Partners,EdTech | 51-200 Employees | Startup | 8 years old | Mumbai +2 more,4,"Skill Development / Learning, Work Life Balance, Job Security",,90
Tech Firefly,IT Services & Consulting | 1k-5k Employees (Global) | 8 years old | Santa Clara +3 more,3.3,,"Job Security, Skill Development / Learning, Promotions / Appraisal",90
iB Arts,Kolkata +2 more,4.2,"Skill Development / Learning, Company Culture, Work Satisfaction",,90
TuringMinds,Hyderabad / Secunderabad +5 more,2.4,,"Promotions / Appraisal, Job Security, Salary & Benefits",90
INVESMATE,Education & Training | 51-200 Employees | Startup | 5 years old | Kolkata +1 more,4.8,"Company Culture, Job Security, Skill Development / Learning",,90
ElringKlinger AG,Auto Components | 51-200 Employees | 145 years old | Dettingen +4 more,3.7,,"Promotions / Appraisal, Job Security, Company Culture",90
Adnet Global,Animation & VFX | 201-500 Employees | 29 years old | Mumbai +4 more,3.3,,"Promotions / Appraisal, Salary & Benefits, Company Culture",90
Lokmanya Multipurpose Co-op Society,Financial Services | 51-200 Employees | 29 years old | Belgaum +21 more,3.8,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",90
India Transact Services,FinTech | 501-1k Employees | 17 years old | Mumbai +28 more,4.3,"Work Satisfaction, Work Life Balance, Company Culture",,90
Gopalan Enterprises,Real Estate | 201-500 Employees | 40 years old | Bangalore/Bengaluru +4 more,4,"Work Life Balance, Job Security, Salary & Benefits",,90
All India Institute of Local Self Government,Healthcare | 1k-5k Employees | 98 years old | Mumbai +28 more,3.6,,"Promotions / Appraisal, Job Security, Salary & Benefits",90
Reliable Spaces,Real Estate | 51-200 Employees | 20 years old | Navi Mumbai +2 more,2.9,,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",90
Akkodis,IT Services & Consulting | 501-1k Employees | Bangalore / Bengaluru +3 more,3.2,,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",90
Planit Testing India,IT Services & Consulting | 201-500 Employees | 27 years old | Sydney +4 more,3.7,"Skill Development / Learning, Work Life Balance","Promotions / Appraisal, Company Culture",90
TVS Next,IT Services & Consulting | 201-500 Employees | 8 years old | New Jersey +3 more,3.5,,"Promotions / Appraisal, Job Security, Work Life Balance",90
SVP Hospital,Government | 1-10 Employees | Ahmedabad +9 more,3.8,,"Promotions / Appraisal, Salary & Benefits, Job Security",90
Saifee Hospital,Healthcare | 201-500 Employees | 19 years old | Mumbai +3 more,3.6,,"Promotions / Appraisal, Work Satisfaction, Company Culture",90
Cybertech Systems & Software,IT Services & Consulting | 201-500 Employees | 29 years old | Oak Brook +7 more,3.8,"Job Security, Skill Development / Learning, Salary & Benefits",,90
Omega Elevators,Industrial Machinery | 1k-5k Employees | 39 years old | Ahmedabad +19 more,3.9,Job Security,"Promotions / Appraisal, Company Culture, Salary & Benefits",90
Skylex Technologies,51-200 Employees | 8 years old | Pune +2 more,3.4,,"Job Security, Skill Development / Learning, Promotions / Appraisal",90
Logistics Service,Greater Noida +40 more,4.4,"Skill Development / Learning, Work Life Balance, Company Culture",,90
Everest Fleet,Internet | 501-1k Employees | Startup | 8 years old | Mumbai +12 more,3.7,,Promotions / Appraisal,90
Skylex Technologies,51-200 Employees | 8 years old | Pune +2 more,3.4,,"Job Security, Skill Development / Learning, Promotions / Appraisal",90
IBM Consulting,10k-50k Employees | Bangalore / Bengaluru +9 more,3.9,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",90
SVP Hospital,Government | 1-10 Employees | Ahmedabad +9 more,3.8,,"Promotions / Appraisal, Salary & Benefits, Job Security",90
Cybertech Systems & Software,IT Services & Consulting | 201-500 Employees | 29 years old | Oak Brook +7 more,3.8,"Job Security, Skill Development / Learning, Salary & Benefits",,90
Logistics Service,Greater Noida +40 more,4.4,"Skill Development / Learning, Work Life Balance, Company Culture",,90
Akal Academy,Education & Training | 201-500 Employees | 37 years old | Sirmour +26 more,3.6,Job Security,"Work Life Balance, Promotions / Appraisal, Work Satisfaction",90
Planit Testing India,IT Services & Consulting | 201-500 Employees | 27 years old | Sydney +4 more,3.7,"Skill Development / Learning, Work Life Balance","Promotions / Appraisal, Company Culture",90
TVS Next,IT Services & Consulting | 201-500 Employees | 8 years old | New Jersey +3 more,3.5,,"Promotions / Appraisal, Job Security, Work Life Balance",90
Saifee Hospital,Healthcare | 201-500 Employees | 19 years old | Mumbai +3 more,3.6,,"Promotions / Appraisal, Work Satisfaction, Company Culture",90
PICL,Semiconductors | 51-200 Employees | 30 years old | Faridabad +4 more,3.8,Job Security,Company Culture,90
Royal Cyber,IT Services & Consulting | 201-500 Employees | 22 years old | Naperville +5 more,3.6,,"Promotions / Appraisal, Job Security, Company Culture",90
Princeware,Petrochemicals | 51-200 Employees | 46 years old | Mumbai +19 more,3.8,,"Salary & Benefits, Promotions / Appraisal, Job Security",90
Numero Uno Clothing,Fashion & Textile | 501-1k Employees | 37 years old | Gurugram +25 more,4.2,"Work Life Balance, Company Culture",Promotions / Appraisal,90
Elico,Industrial Machinery | 201-500 Employees | 64 years old |  Hyderabad +10 more,3.4,,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",89
Opulentus Overseas Careers,Travel & Tourism | 201-500 Employees | 23 years old | Hyderabad +9 more,2.5,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",87
Wyzmindz Solutions,IT Services & Consulting | 51-200 Employees (Global) | 14 years old | Bengaluru +3 more,3.5,,"Salary & Benefits, Promotions / Appraisal, Job Security",85
Ocean Sparkle,Ports & Shipping | 1k-5k Employees | 29 years old | Hyderabad +19 more,4.3,Job Security,"Promotions / Appraisal, Salary & Benefits",82
Moople Academy,Kolkata +7 more,4.4,"Company Culture, Skill Development / Learning, Work Life Balance",,200
Synnat Pharma,1-10 Employees | 13 years old | Secunderabad +4 more,4.4,"Skill Development / Learning, Salary & Benefits, Work Life Balance",,90
Premsons Motor Udyog,Auto Components | 1k-5k Employees | 28 years old | Ranchi +7 more,4.1,,"Promotions / Appraisal, Work Satisfaction, Job Security",90
WVP International,Travel & Tourism | 11-50 Employees | 12 years old | Delhi/NCR +7 more,4.9,"Job Security, Work Life Balance, Company Culture",,90
Paytail,FinTech | 51-200 Employees | Startup | 4 years old | Delhi +9 more,3,,"Job Security, Promotions / Appraisal, Salary & Benefits",90
Monotech Systems,Printing & Publishing | 501-1k Employees | 25 years old | Chennai +17 more,3.8,,"Promotions / Appraisal, Salary & Benefits",89
Government of Kerala,Government | 1 Lakh+ Employees | 68 years old | Thiruvananthapuram +22 more,3.8,"Skill Development / Learning, Work Life Balance, Work Satisfaction","Salary & Benefits, Promotions / Appraisal",89
IXAR,Oil & Gas | 51-200 Employees | 55 years old | Mumbai +9 more,3.7,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits, Company Culture",89
Indovision Services,IT Services & Consulting | 501-1k Employees | 12 years old | Delhi/NCR +19 more,4.1,Work Satisfaction,"Promotions / Appraisal, Salary & Benefits",89
Affinity Global Advertising,Marketing & Advertising | 51-200 Employees | 18 years old | Chicago +3 more,3.1,,"Work Satisfaction, Company Culture, Skill Development / Learning",89
Protiviti Consulting,Management Consulting | 1k-5k Employees | 22 years old | Menlo Park +10 more,3.7,,"Work Satisfaction, Work Life Balance, Promotions / Appraisal",89
Enkei Wheels India,Auto Components | 201-500 Employees | Public | 15 years old | Pune +3 more,4.2,"Job Security, Salary & Benefits, Promotions / Appraisal",,89
Freedom English Academy,Education & Training | 501-1k Employees | 14 years old | New Delhi +10 more,4.1,"Skill Development / Learning, Company Culture, Work Satisfaction","Salary & Benefits, Promotions / Appraisal",89
LG Polymers,Chemicals | 501-1k Employees | 63 years old | Mumbai +8 more,4.5,"Job Security, Work Life Balance, Salary & Benefits",,89
LIC Mutual Fund,Financial Services | 501-1k Employees (Global) | Public | 35 years old | Mumbai +34 more,3.7,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",89
Hind Terminals,Logistics | 1k-5k Employees | 19 years old | Mumbai +15 more,4.1,"Job Security, Work Life Balance, Salary & Benefits",,89
F5 Networks,IT Services & Consulting | 501-1k Employees | Public | 28 years old | Mumbai +4 more,4,"Work Life Balance, Company Culture, Salary & Benefits",,89
Paras Spices,Food Processing | 51-200 Employees | 42 years old | Mumbai +9 more,3.7,,"Company Culture, Promotions / Appraisal",89
RxLogix Corporation,Pharma | 201-500 Employees | 14 years old | Noida +5 more,2.6,,"Work Life Balance, Company Culture, Work Satisfaction",89
Finicity,Financial Services | 201-500 Employees | 24 years old | Mumbai +3 more,3.4,,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",89
Damac Properties,Real Estate | 1k-5k Employees (Global) | 22 years old | Dubai +4 more,3.4,,"Promotions / Appraisal, Job Security, Work Satisfaction",89
Bioworld Merchandising,Retail | 201-500 Employees | 16 years old | Gurgaon / Gurugram +7 more,3.9,,Promotions / Appraisal,89
Harness,Software Product | 201-500 Employees | Startup | 8 years old | San Francisco +6 more,4.2,"Skill Development / Learning, Company Culture, Work Satisfaction",,89
Paharpur 3P,Packaging | 201-500 Employees | 38 years old | Sahibabad +8 more,4.2,"Job Security, Company Culture, Skill Development / Learning",,89
Madura Fashion & Lifestyle,201-500 Employees | 36 years old | Mumbai  +27 more,4.2,"Salary & Benefits, Company Culture, Skill Development / Learning",Promotions / Appraisal,89
Satnam Global Infra Projects,Electronics Manufacturing | 51-200 Employees | 37 years old | New Delhi +16 more,3.6,,"Promotions / Appraisal, Salary & Benefits, Company Culture",89
National Dairy Development Board,Food Processing | 501-1k Employees | 59 years old | Anand +15 more,4,"Salary & Benefits, Company Culture, Work Life Balance",Promotions / Appraisal,89
LNJ Bhilwara Group,Fashion & Textile | 1k-5k Employees | Conglomerate | 64 years old | Noida +19 more,3.7,,"Promotions / Appraisal, Company Culture, Salary & Benefits",89
ZoomRx,Analytics & KPO | 201-500 Employees | 15 years old | Cambridge +2 more,3,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",89
@home,Furniture & Furnishing | 501-1k Employees (Global) | 19 years old | Mumbai +24 more,4.3,"Skill Development / Learning, Work Satisfaction, Company Culture",,89
E C R Buildtech,51-200 Employees | 12 years old | Bhiwadi +18 more,4.1,"Skill Development / Learning, Work Satisfaction, Job Security",,89
Vtc Tradewings,Logistics | 51-200 Employees | 55 years old | Chandigarh +17 more,4.3,"Work Satisfaction, Work Life Balance, Skill Development / Learning",,89
Foundation To Educate Girls Gloablly,Non-Profit | 1k-5k Employees | 17 years old | Mumbai +26 more,3.9,"Skill Development / Learning, Salary & Benefits",Job Security,89
Unique Infra Engineering,Engineering & Construction | 201-500 Employees | 25 years old | Udaipur +20 more,3.6,,"Salary & Benefits, Promotions / Appraisal, Job Security",89
Sagacious IP,11-50 Employees | 16 years old | Everett +4 more,4,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,89
Eat 'N' Fit Agro Foods,Food Processing | 1-10 Employees | 10 years old | Gurgaon/Gurugram +31 more,2.6,,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",89
MAJID AL FUTTAIM RETAIL,Retail | 201-500 Employees | 32 years old | Dubai +9 more,3.6,,"Promotions / Appraisal, Skill Development / Learning, Job Security",89
INFOCRUNCH ANALYTICS,Analytics & KPO | 51-200 Employees | New Delhi +7 more,3.6,Salary & Benefits,"Job Security, Promotions / Appraisal, Company Culture",89
LambdaTest,Software Product | 201-500 Employees | Startup | 7 years old | San Francisco +2 more,4.5,"Salary & Benefits, Skill Development / Learning, Company Culture",,89
Xerago,Marketing & Advertising | 201-500 Employees | 22 years old | San Jose +2 more,4.1,"Job Security, Work Life Balance, Skill Development / Learning",Salary & Benefits,89
Shiksha Financial Services India,Financial Services | 51-200 Employees | 10 years old | Chennai +19 more,3.7,,Promotions / Appraisal,89
Isgec Hitachi Zosen,Industrial Machinery | 201-500 Employees | 12 years old | Dahej +5 more,3.5,Salary & Benefits,"Company Culture, Work Life Balance",89
Ahlcon Parenterals,Pharma | 51-200 Employees | 32 years old | Delhi/NCR +4 more,4.2,"Job Security, Work Life Balance, Salary & Benefits",,89
Tilaknagar Industries Ltd.,Beverage | 201-500 Employees | Public | 91 years old | Mumbai +12 more,3.8,,,89
Chumbak Design,Retail | 11-50 Employees | 14 years old | Bangalore +21 more,3.5,,"Promotions / Appraisal, Work Life Balance, Salary & Benefits",89
Virgo Group,1k-5k Employees | 31 years old | Chandigarh +27 more,4,,Promotions / Appraisal,89
Le Marche,Retail | 51-200 Employees | 19 years old | New Delhi +3 more,3.5,,"Promotions / Appraisal, Job Security, Skill Development / Learning",89
Pritam International,Consumer Electronics & Appliances | 11-50 Employees | 24 years old | New Delhi +12 more,3.6,Skill Development / Learning,"Company Culture, Job Security, Promotions / Appraisal",89
Manya Education,Education & Training | 201-500 Employees | 22 years old | Delhi/NCR +10 more,3.2,,"Promotions / Appraisal, Job Security, Skill Development / Learning",89
Repos Energy,Power | 51-200 Employees | Startup | 7 years old | Pune +9 more,3.6,,"Job Security, Work Satisfaction, Work Life Balance",89
Josh Software,IT Services & Consulting | 201-500 Employees | 17 years old | Pune +1 more,3.2,,"Promotions / Appraisal, Job Security, Salary & Benefits",89
Tatsuno India,Oil & Gas | 51-200 Employees | 18 years old | Mumbai +12 more,3.8,"Work Life Balance, Company Culture, Skill Development / Learning","Promotions / Appraisal, Job Security, Salary & Benefits",89
SmartWorld Developers,Real Estate | 201-500 Employees | Gurgaon / Gurugram +2 more,4.5,"Salary & Benefits, Work Life Balance, Company Culture",,89
Bijak,Internet | 51-200 Employees | Startup | 5 years old | Gurgaon +11 more,3.4,,"Job Security, Promotions / Appraisal, Work Satisfaction",89
Ghaziabad Precision Products,Automobile | 501-1k Employees | 36 years old | Ghaziabad +7 more,3.5,,"Work Life Balance, Job Security, Company Culture",89
Happay,Software Product | 201-500 Employees | Startup | 12 years old | Bangalore +4 more,3.4,,"Job Security, Promotions / Appraisal, Skill Development / Learning",89
Empower,Insurance | 51-200 Employees | Public | 8 years old | San Francisco +8 more,3.9,Job Security,"Work Satisfaction, Promotions / Appraisal, Skill Development / Learning",89
DNV,Analytics & KPO | 501-1k Employees | 160 years old | Oslo +15 more,4.2,"Company Culture, Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits",89
XYXX Apparels,Fashion & Textile | 201-500 Employees | Startup | 8 years old | Surat +20 more,4.1,"Company Culture, Skill Development / Learning, Salary & Benefits",,89
Gainsight,IT Services & Consulting | 1k-5k Employees | 15 years old | San Francisco +2 more,4.3,"Company Culture, Work Life Balance, Salary & Benefits",,89
DPS International,Education & Training | 51-200 Employees | 10 years old | Gurgaon/Gurugram +31 more,3.8,,"Promotions / Appraisal, Work Satisfaction",89
iLink Digital,IT Services & Consulting | 1k-5k Employees | 22 years old | Bothell +4 more,3,,"Promotions / Appraisal, Job Security, Work Satisfaction",89
E-meditek Tpa Services,Insurance | 501-1k Employees (Global) | 24 years old | Gurgaon +15 more,4.2,,"Job Security, Salary & Benefits, Promotions / Appraisal",66
Vatsal Technosoft,IT Services & Consulting | 1k-5k Employees | 16 years old | Ahmedabad +6 more,4.3,"Skill Development / Learning, Company Culture, Promotions / Appraisal",,93
DWD Pharmaceuticals,Pharma | 501-1k Employees | 43 years old | Mumbai +21 more,3.8,,"Salary & Benefits, Promotions / Appraisal, Work Life Balance",92
Kabra Extrusion Technik,Industrial Machinery | 501-1k Employees | Public | 62 years old | Mumbai +8 more,4,,Promotions / Appraisal,88
Difacto Robotics and Automation,Industrial Automation | 201-500 Employees | 17 years old | Bangalore +4 more,3.8,"Job Security, Skill Development / Learning","Work Life Balance, Work Satisfaction, Promotions / Appraisal",88
Banas Dairy,Food Processing | 1k-5k Employees | 55 years old | Palanpur +13 more,4.1,,Promotions / Appraisal,88
Vi-son Industries,Industrial Machinery | 501-1k Employees (Global) | 27 years old | Mumbai +11 more,3.6,,"Salary & Benefits, Work Satisfaction, Promotions / Appraisal",88
Outline Systems,IT Services & Consulting | 1k-5k Employees | 19 years old | Chandigarh +5 more,4,"Company Culture, Job Security, Work Life Balance",,88
Ranjit Buildcon,Engineering & Construction | 18 years old | Ahmedabad +13 more,4.3,"Skill Development / Learning, Work Satisfaction, Work Life Balance",,88
Swan Enterprises,Industrial Machinery | 1k-5k Employees | 39 years old | Ludhiana +9 more,3.1,,"Salary & Benefits, Promotions / Appraisal, Work Life Balance",88
Sharda Cropchem,Chemicals | 201-500 Employees | Public | 37 years old | Mumbai +7 more,3.9,"Salary & Benefits, Job Security",,88
DEC Property Management,Facility Management Services | 51-200 Employees | 26 years old | New Delhi +12 more,4.7,"Work Life Balance, Work Satisfaction, Company Culture",,88
Omni Hospital,Healthcare | 501-1k Employees | 14 years old | Hyderabad +6 more,4,Work Life Balance,"Salary & Benefits, Promotions / Appraisal",88
Allzone Management Solutions,Healthcare | 51-200 Employees | 19 years old | Los Angeles +3 more,4.1,"Job Security, Work Satisfaction, Skill Development / Learning",,88
Birla Sun Life Mutual Fund,Insurance | 1k-5k Employees | 30 years old | Mumbai +36 more,4.1,"Job Security, Work Life Balance, Company Culture",,88
Malpani Group,Power | 1k-5k Employees | 130 years old | Sangamner +10 more,4.1,"Work Life Balance, Company Culture, Job Security",,88
Bangalore Baptist Hospital,Healthcare | 1k-5k Employees | 51 years old | Bangalore/Bengaluru +1 more,4.3,"Job Security, Company Culture, Skill Development / Learning",,88
Pavna Group of Industries,Auto Components | 51-200 Employees | Aligarh +4 more,3.4,,"Promotions / Appraisal, Company Culture, Salary & Benefits",88
Core Energy Systems Limited,Power | 201-500 Employees | Navi Mumbai +20 more,4.2,"Skill Development / Learning, Company Culture, Job Security",,88
P N Gadgil Jewellers,Jewellery | 1k-5k Employees | 192 years old | Pune +21 more,4.5,"Skill Development / Learning, Company Culture, Work Life Balance",,88
Finoit Technologies,IT Services & Consulting | 51-200 Employees | 14 years old | Irving +1 more,4.1,"Company Culture, Work Life Balance, Work Satisfaction",,88
Rajagiri Hospital,Healthcare | 201-500 Employees | 10 years old | Kochi +6 more,4.6,"Skill Development / Learning, Company Culture, Work Satisfaction",,88
Swan Enterprises,Industrial Machinery | 1k-5k Employees | 39 years old | Ludhiana +9 more,3.1,,"Salary & Benefits, Promotions / Appraisal, Work Life Balance",88
